NCT	Phase	Conditions	Drugs	BriefTitle	OfficialTrial	Oncotree Codes
NCT02203695	2	Adenocarcinoma of the Prostate	Enzalutamide	Randomized Salvage Radiation Therapy Plus Enzalutamide Post Prostatectomy	Phase II Randomized Placebo-Controlled Double-Blind Study of Salvage Radiation Therapy (SRT) Plus Placebo Versus SRT Plus Enzalutamide in Men With High-Risk PSA-Recurrent Prostate Cancer After Radical Prostatectomy	PRAD
NCT02228096	2	B-cell Acute Lymphoblastic Leukemia|Relapsed B-cell Acute Lymphoblastic Leukemia|Refractory B-cell Acute Lymphoblastic Leukemia		Study of Efficacy and Safety of CTL019 in Pediatric ALL Patients	A Phase II, Single Arm, Multicenter Trial to Determine the Efficacy and Safety of CTL019 in Pediatric Patients With Relapsed and Refractory B-cell Acute Lymphoblastic Leukemia	LYMPH
NCT02240238	1/Phase 2	Solid Tumors	NC-6004|Gemcitabine	Combination Therapy With NC-6004 and Gemcitabine in Advanced Solid Tumors or Non-Small Cell Lung, Biliary and Bladder Cancer	A Phase 1b/2 Dose Escalation and Expansion Trial of NC-6004 (Nanoparticle Cisplatin) Plus Gemcitabine in Patients With Advanced Solid Tumors or Non-Small Cell Lung, Biliary Tract, and Bladder Cancer	
NCT02285439	1/Phase 2	Low-Grade Gliomas|Malignant Neoplasms, Brain|Soft Tissue Neoplasms	MEK162	Phase I/II Study of MEK162 for Children With Ras/Raf Pathway Activated Tumors	Phase I Study of MEK162 for Children With Progressive or Recurrent Cancer and a Phase II Study for Children With Low-Grade Gliomas and Other Ras/Raf/MAP Pathway Activated Tumors	MT|TISSUE|SOFT_TISSUE|SYNS
NCT02289144	2	Metastatic Anaplastic Thyroid Cancer|Locally Advanced Anaplastic, Undifferentiated Thyroid Cancer	Ceritinib	Ceritinib in Mutation and Oncogene Directed Therapy in Thyroid Cancer	Ceritinib in Mutation and Oncogene Directed Therapy in Metastatic or Locally Advanced Anaplastic/Undifferentiated Thyroid Cancer	THAP|WDTC|MT|THYROID
NCT02303821	1	Acute Lymphoblastic Leukemia (ALL)	Carfilzomib|Dexamethasone|Mitoxantrone|PEG-asparaginase|Vincristine|Intrathecal (IT) Methotrexate|Intrathecal Triple Therapy (Intrathecal Cytarabine, Hydrocortisone, and Methotrexate)|6-Mercaptopurine|Cyclophosphamide|Cytarabine|Daunorubicin	Study of Carfilzomib in Combination With Induction Chemotherapy in Children With Relapsed or Refractory Acute Lymphoblastic Leukemia	Phase 1b Study of Carfilzomib in Combination With Induction Chemotherapy in Children With Relapsed or Refractory Acute Lymphoblastic Leukemia	LYMPH
NCT02306161	3	Metastatic Ewing Sarcoma|Metastatic Malignant Neoplasm in the Bone|Metastatic Malignant Neoplasm in the Bone Marrow|Metastatic Malignant Neoplasm in the Lung|Metastatic Peripheral Primitive Neuroectodermal Tumor of Bone|Peripheral Primitive Neuroectodermal Tumor of Soft Tissues	Cyclophosphamide|Doxorubicin Hydrochloride|Etoposide|Ifosfamide|Vincristine Sulfate	Combination Chemotherapy With or Without Ganitumab in Treating Patients With Newly Diagnosed Metastatic Ewing Sarcoma	Randomized Phase 3 Trial Evaluating the Addition of the IGF-1R Monoclonal Antibody Ganitumab (AMG 479, NSC# 750008) to Multiagent Chemotherapy for Patients With Newly Diagnosed Metastatic Ewing Sarcoma	LUNG|MT|ES|TISSUE|EPIS|BONE|PNET|SOFT_TISSUE|SYNS
NCT02332668	1/Phase 2	Melanoma|Lymphoma|Solid Tumor|Classical Hodgkin Lymphoma|Microsatellite-instability-high Solid Tumor		A Study of Pembrolizumab (MK-3475) in Pediatric Participants With an Advanced Solid Tumor or Lymphoma (MK-3475-051/KEYNOTE-051)	A Phase I/II Study of Pembrolizumab (MK-3475) in Children With Advanced Melanoma or a PD-L1 Positive Advanced, Relapsed or Refractory Solid Tumor or Lymphoma (KEYNOTE-051)	MEL|CHL|MLYM
NCT02339740	3	Acute Promyelocytic Leukemia With PML-RARA	Arsenic Trioxide|Cytarabine|Dexamethasone|Idarubicin|Mitoxantrone Hydrochloride|Tretinoin	Tretinoin and Arsenic Trioxide in Treating Patients With Untreated Acute Promyelocytic Leukemia	A Phase III Study for Patients With Newly Diagnosed Acute Promyelocytic Leukemia (APL) Using Arsenic Trioxide and All-Trans Retinoic Acid	CML
NCT02354586	2	Ovarian Cancer	Niraparib	A Study of Niraparib in Patients With Ovarian Cancer Who Have Received Three or Four Previous Chemotherapy Regimens	A Phase 2, Open-Label, Single-Arm Study to Evaluate the Safety and Efficacy of Niraparib in Patients With Advanced, Relapsed, High-Grade Serous Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Cancer Who Have Received Three or Four Previous Chemotherapy Regimens	CCOV|EOV|OOVC|MT|LGSOC|SOC|HGSOC|MOV
NCT02357836	Early 1	Non-small Cell Lung Cancer	Itraconazole	Neoadjuvant Itraconazole in Non-small Cell Lung Cancer	Phase 0 Pharmacodynamic Study of the Effects of Itraconazole on Tumor Angiogenesis and the Hedgehog Pathway in Early-stage Non-small Cell Lung Cancer	LUNG|NSCLC|MT|SCLC|NSCLCPD
NCT02392429	2	Acute Myeloid Leukemia|Untreated Adult Acute Myeloid Leukemia	Chemotherapy|Cytarabine	FLT PET/CT in Measuring Response in Patients With Previously Untreated Acute Myeloid Leukemia	Early Assessment of Treatment Response in AML Using FLT PET/CT Imaging	CML|MYELOID|AML
NCT02398773	2	Estrogen Receptor Positive|HER2/Neu Negative|Progesterone Receptor Negative|Progesterone Receptor Positive|Stage IV Breast Cancer AJCC v6 and v7	F-18 16 Alpha-Fluoroestradiol	FES PET/CT in Predicting Response in Patients With Newly Diagnosed Metastatic Breast Cancer Receiving Endocrine Therapy	[18F] Fluoroestradiol (FES) PET as a Predictive Measure for Endocrine Therapy in Patients With Newly Diagnosed Metastatic Breast Cancer	CHOL|MT|ES|EPIS|BREAST
NCT02401542	1/Phase 2	Locally Advanced or Metastatic Urothelial Cell Carcinoma|Urinary Bladder Disease|Urological Diseases	Vofatamab|Docetaxel|Placebo	Dose Escalation, Expansion Study of Vofatamab (B-701) in Treatment of Locally Advanced or Metastatic Urothelial Cell Carcinoma	A Dose Escalation, Expansion Study of Vofatamab (B-701) Alone, Plus Docetaxel, or Versus Docetaxel in Subjects With Locally Advanced or Metastatic Urothelial Cell Carcinoma Who Have Relapsed After, or Are Refractory to Standard Therapy	MT|ES|EPIS|BLADDER
NCT02407054	2	Prostate Cancer Metastatic	LY3023414|Enzalutamide|Placebo	A Study of Enzalutamide and LY3023414 in Men With Prostate Cancer	A Double-Blinded, Placebo-Controlled, Randomized Phase II Study of Enzalutamide With or Without the PI3 Kinase/mTOR Inhibitor LY3023414 in Men With Metastatic Castration Resistant Prostate Cancer	PROSTATE|MT
NCT02411448	3	Metastatic Non-Small Cell Lung Cancer	Ramucirumab|Placebo|Erlotinib|Gefitinib|Osimertinib	A Study of Ramucirumab (LY3009806) in Combination With Erlotinib in Participants With EGFR Mutation-Positive Metastatic NSCLC	A Multicenter, Randomized, Double-Blind Study of Erlotinib in Combination With Ramucirumab or Placebo in Previously Untreated Patients With EGFR Mutation-Positive Metastatic Non-Small Cell Lung Cancer	LUNG|NSCLC|MT|SCLC
NCT02424617	1/Phase 2	Non-Small Cell Lung Cancer	erlotinib|BGB324	A Study of BGB324 in Combination With Erlotinib in Patients With Non-Small Cell Lung Cancer	A Multi-Center Open-Label Phase I/2 Study of BGB324 in Combination With Erlotinib in Patients With Stage IIIb or Stage IV Non-Small Cell Lung Cancer	NSCLC
NCT02445391	3	Estrogen Receptor Negative|HER2/Neu Negative|Invasive Breast Carcinoma|Progesterone Receptor Negative|Stage II Breast Cancer|Stage IIA Breast Cancer|Stage IIB Breast Cancer|Stage III Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Triple-Negative Breast Carcinoma	Capecitabine|Carboplatin|Cisplatin	Platinum Based Chemotherapy or Capecitabine in Treating Patients With Residual Triple-Negative Basal-Like Breast Cancer Following Neoadjuvant Chemotherapy	A Randomized Phase III Post-operative Trial of Platinum Based Chemotherapy vs. Capecitabine in Patients With Residual Triple-Negative Basal-Like Breast Cancer Following Neoadjuvant Chemotherapy	MT|ES|EPIS|BREAST|BRCA
NCT02450331	3	Carcinoma, Transitional Cell	Atezolizumab	A Study of Atezolizumab Versus Observation as Adjuvant Therapy in Participants With High-Risk Muscle-Invasive Urothelial Carcinoma (UC) After Surgical Resection	A Phase III, Open-Label, Multicenter, Randomized Study of Atezolizumab (Anti-PD-L1 Antibody) Versus Observation as Adjuvant Therapy in Patients With High-Risk Muscle-Invasive Urothelial Carcinoma After Surgical Resection	MT
NCT02465060	2	Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Ovarian Carcinoma|Pancreatic Carcinoma|Plasma Cell Myeloma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Plasma Cell Myeloma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Carcinoma|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Plasma Cell Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer	Adavosertib|Afatinib|Binimetinib|Capivasertib|Crizotinib|Dabrafenib|Dasatinib|Defactinib|FGFR Inhibitor AZD4547|Larotrectinib|Osimertinib|Palbociclib|PI3K-beta Inhibitor GSK2636771|Sapanisertib|Sunitinib Malate|Taselisib|Trametinib|Vismodegib	Targeted Therapy Directed by Genetic Testing in Treating Patients With Advanced Refractory Solid Tumors, Lymphomas, or Multiple Myeloma (The MATCH Screening Trial)	Molecular Analysis for Therapy Choice (MATCH)	KIDNEY|ODG|DIFG|GB|DCIS|GNOS|MDLC|CHGL|THHC|LUNG|MSCC|GBC|COM|MT|UCP|LUAS|ECAD|PHC|ES|BCC|AGNG|THYROID|LGGNOS|MASCC|THPA|HEAD_NECK|SRCBC|MLYM|MMBC|MCC|IBC|LCLC|LIVER|DIPG|ANGL|GNG|BRCA|SKIN|THAP|LYMPH|SCGBC|SUBE|WDTC|PROSTATE|ENCG|IHCH|LUSC|LCIS|OAST|SPC|UTERUS|OHNCA|BRSRCC|NSCLC|PCM|CCLC|HGGNOS|SCLC|MASC|MEL|DIG|EPIS|HTAT|THPD|THFO|STOMACH|IMMC|ILC|MBC|LECLC|CCHM|THME|AOAST|BREAST|PGNG|CSCLC|BLADDER|MCCE|RLCLC|CSCC|MXOV|IDC|UCEC|AODG|ACBC|USTAD
NCT02466971	2	Cervical Adenocarcinoma|Cervical Adenosquamous Carcinoma|Cervical Squamous Cell Carcinoma, Not Otherwise Specified|Stage IB2 Cervical Cancer AJCC v6 and v7|Stage II Cervical Cancer AJCC v7|Stage II Vaginal Cancer AJCC v6 and v7|Stage IIA Cervical Cancer AJCC v7|Stage IIB Cervical Cancer AJCC v6 and v7|Stage III Vaginal Cancer AJCC v6 and v7|Stage IIIB Cervical Cancer AJCC v6 and v7|Stage IVA Cervical Cancer AJCC v6 and v7|Stage IVA Vaginal Cancer AJCC v6 and v7|Vaginal Adenocarcinoma|Vaginal Adenosquamous Carcinoma|Vaginal Squamous Cell Carcinoma, Not Otherwise Specified	Cisplatin|Triapine	Radiation Therapy and Cisplatin With or Without Triapine in Treating Patients With Newly Diagnosed Stage IB2, II, or IIIB-IVA Cervical Cancer or Stage II-IVA Vaginal Cancer	A Randomized Phase II Trial of Radiation Therapy and Cisplatin Alone or in Combination With Intravenous Triapine in Women With Newly Diagnosed Bulky Stage IB2, Stage II, IIIB, or IVA Cancer of the Uterine Cervix or Stage II-IVA Vaginal Cancer	CEAD|MT|CHOL|VA|CESC|OTHER|VSC|CEAS
NCT02477826	3	Non-Small Cell Lung Cancer	Nivolumab|Ipilimumab|Carboplatin|Cisplatin|Gemcitabine|Pemetrexed|Paclitaxel	An Investigational Immuno-therapy Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plus Platinum-doublet Chemotherapy, Compared to Platinum Doublet Chemotherapy in Patients With Stage IV Non-Small Cell Lung Cancer (NSCLC)	An Open-Label, Randomized Phase 3 Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plus Platinum Doublet Chemotherapy Versus Platinum Doublet Chemotherapy in Subjects With Chemotherapy-Naïve Stage IV or Recurrent Non-Small Cell Lung Cancer (NSCLC)	NSCLC
NCT02477878	1	Leukemia|Myelodysplastic Syndromes|Lymphoma|Multiple Myeloma|Hematologic Neoplasms	AP1903	Study of Gene Modified Donor T Cell Infusion in Patients With Recurrent Disease After Allogeneic Transplant	A Phase I Study of Donor BPX-501 T Cell Infusion for Adults With Recurrent or Minimal Residual Disease Hematologic Malignancies Post-Allogeneic Transplant	BLLBCRABL1L|BLLIL3IGH|MPALBCRABL1|TLGL|ACML|BLLNOS|MDS|MPALTNOS|TLL|ABL|BLLETV6RUNX1|ETPLL|MPALKMT2A|CMML|MPALBNOS|ATLL|CMML2|BPDCN|BLLRGA|ANKL|BLLHYPO|MLYM|AUL|BLLHYPER|BPLL|AML|BLLBCRABL1|SMMCL|HCL|CMLBCRABL1|TPLL|ALAL|NKCLL|AMML|BLLKMT2A|PERL|CNL|JMML|CML|MLADS|BLLIAMP21|PCM|CLLSLL|AMKL|CMML1|CMML0|BLL|AMOL|CELNOS|TAML|HCL-V|BLLTCF3PBX1|SBLU
NCT02484443	2	Metastatic Malignant Neoplasm in the Lung|Metastatic Osteosarcoma|Recurrent Osteosarcoma		Dinutuximab in Combination With Sargramostim in Treating Patients With Recurrent Osteosarcoma	A Phase 2 Study of Human-Mouse Chimeric Anti-disialoganglioside Monoclonal Antibody ch14.18 (Dinutuximab, NSC# 764038) in Combination With Sargramostim (GM-CSF) in Patients With Recurrent Osteosarcoma	LUNG|MT|OS
NCT02492711	3	HER-2 Positive Breast Cancer|Metastatic Neoplasm	Capecitabine|Eribulin|Gemcitabine|Vinorelbine	Margetuximab Plus Chemotherapy vs Trastuzumab Plus Chemotherapy in the Treatment of HER2+ Metastatic Breast Cancer	A Phase 3, Randomized Study of Margetuximab Plus Chemotherapy vs Trastuzumab Plus Chemotherapy in the Treatment of Patients With HER2+ Metastatic Breast Cancer Who Have Received Prior Anti-HER2 Therapies and Require Systemic Treatment	MT|BREAST
NCT02495415	2	Peripheral T-cell Lymphoma	Fenretinide	Trial of Intravenous Fenretinide Emulsion for Patients With Relapsed/Refractory Peripheral T-cell Lymphomas	Phase II Trial of Intravenous Fenretinide (N-(4-hydroxyphenyl) Retinamide, 4-HPR) Emulsion for Patients With Relapsed/Refractory Peripheral T-cell Lymphomas (PTCL)	MLYM|MTNN|LYMPH|NPTLTFH|PTCL
NCT02498951	2	CD20 Positive|Central Nervous System B-Cell Non-Hodgkin Lymphoma		Obinutuzumab in Treating Patients With Central Nervous System Lymphoma Who Have Achieved a Complete Response	Maintenance Obinutuzumab for Primary Central Nervous System Lymphoma Complete Responders	NHL|MLYM|BRAIN|LYMPH|HL|MBN
NCT02502266	2/Phase 3	Deleterious BRCA1 Gene Mutation|Deleterious BRCA2 Gene Mutation|Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|Fallopian Tube Serous Adenocarcinoma|Fallopian Tube Transitional Cell Carcinoma|Fallopian Tube Undifferentiated Carcinoma|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Seromucinous Carcinoma|Ovarian Serous Adenocarcinoma|Ovarian Transitional Cell Carcinoma|Ovarian Undifferentiated Carcinoma|Primary Peritoneal Serous Adenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma	Cediranib Maleate|Olaparib|Paclitaxel|Pegylated Liposomal Doxorubicin Hydrochloride|Topotecan Hydrochloride	Cediranib Maleate and Olaparib or Standard Chemotherapy in Treating Patients With Recurrent Platinum-Resistant or -Refractory Ovarian, Fallopian Tube, or Primary Peritoneal Cancer	A Randomized Phase II/III Study of the Combination of Cediranib and Olaparib Compared to Cediranib or Olaparib Alone, or Standard of Care Chemotherapy in Women With Recurrent Platinum-Resistant or -Refractory Ovarian, Fallopian Tube, or Primary Peritoneal Cancer (COCOS)	OSMCA|CEEN|MT|SOC|EOV
NCT02513667	2	ALK-positive Non-small Cell Lung Cancer	Ceritinib	Ceritinib in Combination With Stereotactic Ablative Radiation Metastatic Lung Adenocarcinoma	Phase II Trial of Ceritinib in Combination With Stereotactic Ablative Radiation in ALK-rearranged Metastatic Lung Adenocarcinoma	LUNG|MT|NSCLC|SCLC
NCT02514031	1	Pancreatic Cancer	ARQ-761|Gemcitabine|nab-paclitaxel	ARQ-761 Treatment With Gemcitabine/Nab-Paclitaxel Chemotherapy In Pancreatic Cancer	A Phase I/Ib, Single-Arm, Open-Label, Multi-Center Trial Using ARQ-761 (Beta-Lapachone) Treatment With Gemcitabine/Nab-Paclitaxel Chemotherapy In Metastatic, Unresectable, Or Recurrent Pancreatic Cancer	MT
NCT02516423	3	Solitary Osseous Plasmacytoma	ixazomib|lenalidomide|dexamethasone|zoledronic acid	Ixazomib Citrate, Lenalidomide, Dexamethasone, and Zoledronic Acid or Zoledronic Acid Alone After Radiation Therapy in Treating Patients With Solitary Plasmacytoma of Bone	Solitary Plasmacytoma of Bone: Randomized Phase III Trial to Evaluate Treatment With Adjuvant Systemic Treatment and Zoledronic Acid Versus Zoledronic Acid After Definite Radiation Therapy	BONE|SYNS
NCT02521493	3	Blasts 5 Percent or More of Bone Marrow Nucleated Cells|Childhood Acute Myeloid Leukemia|Childhood Myelodysplastic Syndrome|Cytopenia|Down Syndrome|Myeloid Leukemia Associated With Down Syndrome|Myeloproliferative Neoplasm|Trisomy 21|Trisomy 21 Mosaicism	Asparaginase|Asparaginase Erwinia chrysanthemi|Cytarabine|Daunorubicin Hydrochloride|Etoposide|Mitoxantrone Hydrochloride|Thioguanine	Response-Based Chemotherapy in Treating Newly Diagnosed Acute Myeloid Leukemia or Myelodysplastic Syndrome in Younger Patients With Down Syndrome	Risk-Stratified Therapy for Acute Myeloid Leukemia in Down Syndrome	MDS|RCYC|MPN|AML|MPRDS|MLADS|CML|MYELOID|BONE|SYNS
NCT02524119	2	Hepatocellular Carcinoma	LEE011	LEE001 and Chemoembolization In Patients With Advanced Hepatocellular Carcinoma	A Phase II Study of LEE011 and Chemoembolization In Patients With Advanced Hepatocellular Carcinoma	HCC
NCT02549651	1	Diffuse Large B-Cell Lymphoma	MEDI4736|tremelimumab|AZD9150	MEDI4736 Alone and in Combination With Tremelimumab or AZD9150 in Adult Subjects With Relapsed/Refractory DLBCL (D4190C00023)	A Phase 1b Study to Evaluate the Safety and Efficacy of MEDI4736 as Monotherapy and in Combination With Tremelimumab or AZD9150 in Subjects With Relapsed or Refractory Diffuse Large B-cell Lymphoma	DLBCLNOS|MLYM|LYMPH|MBN
NCT02554812	2	Advanced Cancer	Avelumab|Utomilumab|PF-04518600|PD 0360324	A Study Of Avelumab In Combination With Other Cancer Immunotherapies In Advanced Malignancies (JAVELIN Medley)	A Phase 1b/2 Open-label Study To Evaluate Safety, Clinical Activity, Pharmacokinetics And Pharmacodynamics Of Avelumab (msb0010718c) In Combination With Other Cancer Immunotherapies In Patients With Advanced Malignancies	MT
NCT02557854	1	Rhabdomyosarcoma|Neuroblastoma|Sarcoma|Sarcoma, Ewing|Osteosarcoma|Desmoid	Doxorubicin HCl liposomal injection	HIFU Hyperthermia With Liposomal Doxorubicin (DOXIL) for Relapsed or Refractory Pediatric and Young Adult Solid Tumors		SARCNOS|SRCC|UESL|SCCRCC|OCS|MPNST|LGFMS|ASPS|SARCL|RMS|ESST|INTS|DDCHS|MYCHS|LCS|UMLMS|UCP|CCSK|FIOS|IFS|LMS|CELI|LIAS|ES|RCSNOS|MCSL|PLLS|CERMS|SCRMS|UUS|ERMS|PBS|CHS|PT|SECOS|ODGC|CSNOS|MMBC|HDCS|OSOS|HGESS|CHOS|DCS|BA|ULMS|THAP|EMCHS|MS|MRT|CHOL|RAS|SCB|OS|FDCS|PLRMS|SCOS|MCHS|OUSARC|UCS|SCSRMS|MRLS|MCS|CCS|GS|PEOS|ESS|MFH|DFSP|SEF|IMT|MCHSCNS|USARC|NBL|IDCS|EPIS|LGESS|ARMS|UELMS|WDLS|FIBS|MPT|DDCHDM|LGCOS|UAS|ANGS|HGSOS|TEOS|DDLS|GSARC|DES|PAOS|LIPO|PTES|EHAE|MFS|SYNS
NCT02559778	2	Neuroblastoma	bortezomib|crizotinib|dasatinib|lapatinib|sorafenib|vorinostat|DFMO	Pediatric Precision Laboratory Advanced Neuroblastoma Therapy	A Study Using Molecular Guided Therapy With Induction Chemotherapy Followed by a Randomized Controlled Trial of Standard Immunotherapy With or Without DFMO Followed by DFMO Maintenance for Subjects With Newly Diagnosed High-Risk Neuroblastoma.	NBL
NCT02562443	3	Myelodysplastic Syndrome|MDS|Refractory Anemia With Excess Blasts|RAEB	rigosertib|Any approved or standard-of-care therapy|best supportive care (BSC)|best supportive care (BSC)	Controlled Study of Rigosertib Versus Physician's Choice of Treatment in MDS Patients After Failure of an HMA	A Phase III, International, Randomized, Controlled Study of Rigosertib Versus Physician's Choice of Treatment in Patients With Myelodysplastic Syndrome After Failure of a Hypomethylating Agent	MDS|MDSRSSLD|ES|MDSSLD|MDSMPNRST|MDSRSMD|MDSMPNU|MDSU|MDSEB|MDSRS|ESS|MDSEB2|EPIS|MDSID5Q|MDSMD|SYNS|MDSEB1
NCT02562755	3	Hepatocellular Carcinoma (HCC)	Sorafenib	Hepatocellular Carcinoma Study Comparing Vaccinia Virus Based Immunotherapy Plus Sorafenib vs Sorafenib Alone	A Phase 3 Randomized, Open-Label Study Comparing Pexa Vec (Vaccinia GM CSF / Thymidine Kinase-Deactivated Virus) Followed by Sorafenib Versus Sorafenib in Patients With Advanced Hepatocellular Carcinoma (HCC) Without Prior Systemic Therapy	MT|HCC|CHOL
NCT02567435	3	Alveolar Rhabdomyosarcoma|Botryoid-Type Embryonal Rhabdomyosarcoma|Embryonal Rhabdomyosarcoma|Rhabdomyosarcoma|Sclerosing Rhabdomyosarcoma|Spindle Cell Rhabdomyosarcoma|Untreated Childhood Rhabdomyosarcoma	Cyclophosphamide|Irinotecan Hydrochloride|Temsirolimus|Vincristine Sulfate	Combination Chemotherapy With or Without Temsirolimus in Treating Patients With Intermediate Risk Rhabdomyosarcoma	A Randomized Phase 3 Study of Vincristine, Dactinomycin, Cyclophosphamide (VAC) Alternating With Vincristine and Irinotecan (VI) Versus VAC/VI Plus Temsirolimus (TORI, Torisel, NSC# 683864) in Patients With Intermediate Risk (IR) Rhabdomyosarcoma (RMS)	RMS|SCRMS|ERMS|SCSRMS|ARMS
NCT02568267	2	Breast Cancer|Cholangiocarcinoma|Colorectal Cancer|Head and Neck Neoplasms|Lymphoma, Large-Cell, Anaplastic|Melanoma|Neuroendocrine Tumors|Non-Small Cell Lung Cancer|Ovarian Cancer|Pancreatic Cancer|Papillary Thyroid Cancer|Primary Brain Tumors|Renal Cell Carcinoma|Sarcomas|Salivary Gland Cancers|Adult Solid Tumor	Entrectinib	Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)	An Open-Label, Multicenter, Global Phase 2 Basket Study of Entrectinib for the Treatment of Patients With Locally Advanced or Metastatic Solid Tumors That Harbor NTRK1/2/3, ROS1, or ALK Gene Rearrangements	CCOV|MT|RCC|SOC|LMS|HGSOC|THPA|MOV|HEAD_NECK|MLYM|MMBC|IBC|SWDNET|BRCA|GINET|LYMPH|CHOL|EOV|OOVC|NSCLC|PBT|EMBC|LGSOC|MEL|IMMC|MBC|BREAST|SACA|GINETES|ACBC
NCT02572453	2	ALK Positive|BCL6 Positive|Recurrent Anaplastic Large Cell Lymphoma|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Mantle Cell Lymphoma|Refractory Anaplastic Large Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Mantle Cell Lymphoma	Onalespib	Onalespib in Treating Patients With Relapsed or Refractory Anaplastic Large Cell Lymphoma, Mantle Cell Lymphoma, or Diffuse Large B-Cell Lymphoma	Phase 2 Study of AT13387 (Onalespib) in ALK+ ALCL, MCL, and BCL-6+ DLBCL	ALCLALKP|MLYM|LYMPH|ALKLBCL|ALCL|MCL|MBN
NCT02576990	2	Mediastinal Large B-cell Lymphoma|Richter Syndrome		Study of Pembrolizumab (MK-3475) in Participants With Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma or Relapsed or Refractory Richter Syndrome (MK-3475-170/KEYNOTE-170)	A Phase II Study of Pembrolizumab (MK-3475) in Subjects With Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma (rrPMBCL) or Relapsed or Refractory Richter Syndrome (rrRS)	PMBL|MLYM|LYMPH|DIA|MBN
NCT02580448	1/Phase 2	Cancer of the Breast|Breast Cancer|Advanced Breast Cancer|Metastatic Breast Cancer|Male Breast Cancer|Triple Negative Breast Cancer|ER+ Breast Cancer	Seviteronel	CYP17 Lyase and Androgen Receptor Inhibitor Treatment With Seviteronel Trial (INO-VT-464-006; NCT02580448)	A Phase 1/2 Open-Label Study to Evaluate the Safety, Pharmacokinetics, Pharmacodynamics and Efficacy of Seviteronel in Subjects With Advanced Breast Cancer	MT|MMBC|IBC|BRCA|EMBC|IMMC|MBC|BREAST|ACBC
NCT02584478	1/Phase 2	Endometrial Carcinoma|Ovarian Carcinoma|Fallopian Tube Carcinoma|Primary Peritoneal Carcinoma|Cervical Carcinoma	AL3818|Carboplatin|Paclitaxel	Phase 1/2a Evaluation of Adding AL3818 to Standard Platinum-Based Chemotherapy in Subjects With Recurrent or Metastatic Endometrial, Ovarian, Fallopian, Primary Peritoneal or Cervical Carcinoma (AL3818-US-002)	A Phase 1/2a Evaluation of the Safety and Efficacy of Adding AL3818, a Dual Receptor Tyrosine Kinase Inhibitor, to Standard Platinum-Based Chemotherapy, in Subjects With Recurrent or Metastatic Endometrial, Ovarian, Fallopian, Primary Peritoneal or Cervical Carcinoma (AL3818-US-002)	MT|ECAD|MCCE|MXOV|UCEC
NCT02595424	2	Gastric Neuroendocrine Carcinoma|Intestinal Neuroendocrine Carcinoma|Pancreatic Neuroendocrine Carcinoma	Capecitabine|Carboplatin|Cisplatin|Etoposide|Temozolomide	Cisplatin, Carboplatin and Etoposide or Temozolomide and Capecitabine in Treating Patients With Neuroendocrine Carcinoma of the Gastrointestinal Tract or Pancreas That Is Metastatic or Cannot Be Removed by Surgery	Randomized Phase II Study of Cisplatin and Etoposide Versus Temozolomide and Capecitabine in Patients With Advanced G3 Non-small Cell Gastroenteropancreatic Neuroendocrine Carcinomas	MT|ES|EPIS|STOMACH|HGNEC
