,Oncotree,Term
570,VYST,Vaginal Yolk Sac Neoplasm
571,VYST,Vaginal Yolk Sac Tumor
572,MP,Hydatid Mole
573,MP,Hydatidiform Mole
574,MP,Molar Pregnancy
575,STAD,Adenocarcinoma of Stomach
576,STAD,Adenocarcinoma of the Stomach
577,STAD,Gastric Adenocarcinoma
578,STAD,Stomach Adenocarcinoma
579,UUC,Cervical Undifferentiated Carcinoma
580,UUC,Undifferentiated Carcinoma of Cervix Uteri
581,UUC,Undifferentiated Carcinoma of Cervix
582,UUC,Undifferentiated Carcinoma of the Cervix Uteri
583,UUC,Undifferentiated Carcinoma of the Cervix
584,UUC,Undifferentiated Carcinoma of the Uterine Cervix
585,UUC,Undifferentiated Carcinoma of Uterine Cervix
586,UUC,Undifferentiated Cervix Carcinoma
587,UUC,Undifferentiated Cervix Uteri Carcinoma
588,UUC,Undifferentiated Uterine Cervix Carcinoma
589,PBT,Primary Brain Neoplasm
590,PBT,Primary Brain Tumor
591,RAML,Angiomyolipoma of Kidney
592,RAML,Angiomyolipoma of the Kidney
593,RAML,Kidney Angiomyolipoma
594,RAML,Renal Angiomyolipoma
595,ISTAD,Gastric Intestinal Type Adenocarcinoma
596,ISTAD,Gastric Intestinal-Type Adenocarcinoma
597,ISTAD,Intestinal Adenocarcinoma of Stomach
598,ISTAD,Intestinal Adenocarcinoma of the Stomach
599,ISTAD,Intestinal Gastric Adenocarcinoma
600,ISTAD,Intestinal Stomach Adenocarcinoma
601,MMBC,Breast Carcinosarcoma
602,MMBC,Mixed Epithelial/Mesenchymal Metaplastic Breast Carcinoma
603,UTERUS,"Genital System, Female, Uterus"
604,UTERUS,Uterine
605,UTERUS,Utero
606,UTERUS,Uterus
607,OFMT,Ossifying Fibromyxoid Neoplasm
608,OFMT,Ossifying Fibromyxoid Tumor
609,OFMT,Ossifying Fibromyxoma
610,PTPR,Papillary Tumor of the Pineal Region
611,DDCHDM,Dedifferentiated Chordoma
612,DDCHDM,Sarcomatoid Chordoma
613,PTES,Central Epithelioid Sarcoma
614,PTES,Proximal-Type Epithelioid Sarcoma
615,MYCHS,Myxoid Chondrosarcoma
616,GNC,Gangliocytoma
617,HCCIHCH,Carcinoma of Liver and Intrahepatic Biliary Tract
618,HCCIHCH,Carcinoma of the Liver and Intrahepatic Biliary Tract
619,HCCIHCH,Cholangiohepatoma
620,HCCIHCH,Combined Hepatocellular Carcinoma and Cholangiocarcinoma
621,HCCIHCH,Hepatocholangiocarcinoma
622,HCCIHCH,Liver and Intrahepatic Biliary Tract Carcinoma
623,HCCIHCH,Mixed Hepatocellular Cholangiocarcinoma
624,MPN,Chronic Myeloproliferative Disease
625,MPN,Chronic Myeloproliferative Disorder
626,MPN,Chronic Myeloproliferative Neoplasm
627,MPN,CMPD
628,MPN,MPD
629,MPN,Myeloproliferative Disorder
630,MPN,Myeloproliferative Neoplasm
631,MPN,Myeloproliferative Tumor
632,SWDNET,Gastric NET
633,SWDNET,Gastric Neuroendocrine Tumor
634,SWDNET,Gastric Well Differentiated Endocrine Tumor/Carcinoma
635,SWDNET,Gastric Well Differentiated Endocrine Tumor
636,UAS,Adenosarcoma of Body of Uterus
637,UAS,Adenosarcoma of the Body of Uterus
638,UAS,Adenosarcoma of the Uterine Body
639,UAS,Adenosarcoma of the Uterine Corpus
640,UAS,Adenosarcoma of Uterine Body
641,UAS,Adenosarcoma of Uterine Corpus
642,UAS,Body of Uterus Adenosarcoma
643,UAS,Uterine Body Adenosarcoma
644,UAS,Uterine Corpus Adenosarcoma
645,UAS,Uterine Corpus Mullerian Adenosarcoma
646,UAS,Uterine Corpus Müllerian Adenosarcoma
648,ACPP,Atypical Choroid Plexus Papilloma
649,PMBL,B-Cell Diffuse Large Cell Lymphoma of Mediastinum
650,PMBL,B-Cell Diffuse Large Cell Lymphoma of the Mediastinum
651,PMBL,Mediastinal (Thymic) Large B-Cell Lymphoma
652,PMBL,Mediastinal B-Cell Diffuse Large Cell Lymphoma
653,PMBL,Mediastinal Diffuse Large Cell Lymphoma with Sclerosis
654,PMBL,PMLCL
655,PMBL,Primary Mediastinal (Thymic) Large B-Cell Lymphoma
656,PMBL,Primary Mediastinal Clear Cell Lymphoma of B-Cell Type
657,PMBL,Primary Mediastinal Large B-Cell Lymphoma
658,APE,Anaplastic Ependymal Neoplasm
659,APE,Anaplastic Ependymal Tumor
660,APE,Anaplastic Ependymoma
661,APE,Malignant Ependymoma
662,APE,Undifferentiated Ependymal Neoplasm
663,APE,Undifferentiated Ependymal Tumor
664,APE,Undifferentiated Ependymoma
665,APE,WHO Grade III Ependymal Neoplasm
666,APE,WHO Grade III Ependymal Tumor
667,OSMBT,"Borderline Ovarian Mucinous Tumor, Endocervical-Like"
668,LUSC,Epidermoid Cell Carcinoma of Lung
669,LUSC,Epidermoid Cell Carcinoma of the Lung
670,LUSC,Epidermoid Cell Lung Carcinoma
671,LUSC,Lung Squamous Cell Carcinoma
672,LUSC,Squamous Cell Carcinoma of Lung
673,LUSC,Squamous Cell Carcinoma of the Lung
674,LUSC,Squamous Cell Lung Carcinoma
675,APAD,Adenocarcinoma of Appendix
676,APAD,Adenocarcinoma of the Appendix
677,APAD,Appendiceal Adenocarcinoma
678,APAD,Appendix Adenocarcinoma
679,OCSC,Mouth SCC
680,OCSC,Mouth Squamous Cell Carcinoma
681,OCSC,Oral Cavity SCC
682,OCSC,Oral Cavity Squamous Cell Carcinoma
683,OCSC,SCC of Mouth
684,OCSC,SCC of Oral Cavity
685,OCSC,SCC of the Mouth
686,OCSC,SCC of the Oral Cavity
687,OCSC,Squamous Cell Carcinoma of Mouth
688,OCSC,Squamous Cell Carcinoma of Oral Cavity
689,OCSC,Squamous Cell Carcinoma of the Mouth
690,OCSC,Squamous Cell Carcinoma of the Oral Cavity
691,DASTR,Diffuse Astrocytoma
692,DASTR,Grade II Astrocytic Neoplasm
693,DASTR,Grade II Astrocytic Tumor
694,DASTR,Grade II Astrocytoma
695,DASTR,WHO Grade II Astrocytoma
696,OVT,Epithelial Neoplasm of Ovary
697,OVT,Epithelial Neoplasm of the Ovary
698,OVT,Epithelial Tumor of Ovary
699,OVT,Epithelial Tumor of the Ovary
700,OVT,Ovarian Epithelial Tumor
701,OVT,Ovarian Surface Epithelial-Stromal Tumor
702,OVT,Ovarian Surface-Epithelial Stromal Neoplasm
703,SPIR,Benign Eccrine Spiradenoma
704,SPIR,Eccrine Spiradenoma
705,SPIR,Spiradenoma
706,OEC,Embryonal Carcinoma of Ovary
707,OEC,Embryonal Carcinoma of the Ovary
708,OEC,Ovarian Embryonal Carcinoma
709,IMTB,Bladder Inflammatory Myofibroblastic Neoplasm
710,IMTB,Bladder Inflammatory Myofibroblastic Tumor
711,IMTB,Inflammatory Myofibroblastic Neoplasm of Bladder
712,IMTB,Inflammatory Myofibroblastic Neoplasm of the Bladder
713,IMTB,Inflammatory Myofibroblastic Neoplasm of the Urinary Bladder
714,IMTB,Inflammatory Myofibroblastic Neoplasm of Urinary Bladder
715,IMTB,Inflammatory Myofibroblastic Tumor of Bladder
716,IMTB,Inflammatory Myofibroblastic Tumor of the Bladder
717,IMTB,Inflammatory Myofibroblastic Tumor of the Urinary Bladder
718,IMTB,Inflammatory Myofibroblastic Tumor of Urinary Bladder
719,IMTB,Urinary Bladder Inflammatory Myofibroblastic Neoplasm
720,IMTB,Urinary Bladder Inflammatory Myofibroblastic Tumor
721,ANSC,Anal Squamous Cell Carcinoma
722,ANSC,Epidermoid Anal Carcinoma
723,ANSC,Epidermoid Carcinoma of Anus
724,ANSC,Epidermoid Carcinoma of the Anus
725,ANSC,Squamous Cell Anal Carcinoma
726,ANSC,Squamous Cell Carcinoma of Anus
727,ANSC,Squamous Cell Carcinoma of the Anus
728,PORO,Eccrine Poroma
729,PORO,Poroma
730,MSCC,Primary Squamous Cell Breast Carcinoma
731,MSCC,Primary Squamous Cell Carcinoma of Breast
732,MSCC,Primary Squamous Cell Carcinoma of the Breast
733,MSCC,SCC of Breast
734,MSCC,SCC of the Breast
735,MSCC,Squamous Breast Carcinoma
736,MSCC,Squamous Carcinoma of Breast
737,MSCC,Squamous Carcinoma of the Breast
738,MSCC,Squamous Cell Breast Carcinoma
739,MSCC,Squamous Cell Carcinoma of Breast
740,MSCC,Squamous Cell Carcinoma of the Breast
741,MT,Cancer
742,MT,CA
743,MT,Malignancy
744,MT,Malignant Neoplasm
745,MT,Malignant Tumor
746,ACRM,Acral Lentiginous Malignant Melanoma
747,ACRM,Acral Lentiginous Melanoma
748,SCCO,Ovarian Small Cell Carcinoma
749,SCCO,Ovarian Small Cell NEC
750,SCCO,Ovarian Small Cell Neuroendocrine Carcinoma
751,IBC,Inflammatory Breast Cancer
752,IBC,Inflammatory Breast Carcinoma
753,IBC,Inflammatory Carcinoma of Breast
754,IBC,Inflammatory Carcinoma of the Breast
755,IBC,Mastitis Carcinomatosa
756,BPDCN,Agranular CD4+ CD56+ Hematodermic Neoplasm/Tumor
757,BPDCN,Agranular CD4+ Natural Killer Cell Leukemia
758,BPDCN,Blastic Natural Killer Leukemia/Lymphoma
759,BPDCN,Blastic NK-Cell Lymphoma
760,BPDCN,Blastic Plasmacytoid Dendritic Cell Neoplasm
761,BPDCN,CD4+/CD56+ Hematodermic Neoplasm
762,BPDCN,Monomorphic NK-Cell Lymphoma
763,AA,Aggressive Angiomyxoma
764,AA,"Deep ""Aggressive"" Angiomyxoma"
765,AA,Deep Angiomyxoma
766,PECOMA,Neoplasm with Perivascular Epithelioid Cell Differentiation
767,PECOMA,PEComa
768,PECOMA,Tumor with Perivascular Epithelioid Cell Differentiation
769,GIST,Gastrointestinal Stromal Neoplasm
770,GIST,Gastrointestinal Stromal Tumor
771,DMBL,Desmoplastic Medulloblastoma
772,DMBL,Desmoplastic Nodular Medulloblastoma
773,DMBL,Desmoplastic/Nodular Medulloblastoma
774,RMS,Rhabdomyosarcoma
775,CCRCC,Clear Cell Adenocarcinoma of Kidney
776,CCRCC,Clear Cell Adenocarcinoma of the Kidney
777,CCRCC,"Clear Cell Adenocarcinoma, Kidney"
778,CCRCC,Clear Cell Carcinoma of Kidney
779,CCRCC,Clear Cell Carcinoma of the Kidney
780,CCRCC,Clear Cell Renal Cell Carcinoma
781,CCRCC,Conventional (Clear Cell) Renal Cell Adenocarcinoma
782,CCRCC,Conventional (Clear Cell) Renal Cell Carcinoma
783,CCRCC,Conventional Renal Cell Carcinoma
784,CCRCC,Grawitz Tumor
785,CCRCC,Hypernephroma
786,CCRCC,Kidney Clear Cell Adenocarcinoma
787,CCRCC,Kidney Clear Cell Carcinoma
788,CCRCC,Renal Clear Cell Adenocarcinoma
789,CCRCC,Renal Clear Cell Carcinoma
790,MF,Infantile Hemangiopericytoma
791,MF,Myofibroma
792,TESTIS,"Genital System, Male, Testis"
793,TESTIS,Testes
794,TESTIS,Testicles
795,TESTIS,Testicle
796,TESTIS,Testis
797,LAM,Lung Lymphangioleiomyomatosis
798,LAM,Lung Lymphangiomyomatosis
799,PSTAD,Gastric Papillary Adenocarcinoma
800,PSTAD,Papillary Adenocarcinoma of Stomach
801,PSTAD,Papillary Adenocarcinoma of the Stomach
802,TLYM,Lymphoma of Testis
803,TLYM,Lymphoma of the Testis
804,TLYM,Primary Testicular Lymphoma
805,TLYM,Testicular Lymphoma
806,OSOS,Osteoblastic Osteosarcoma
807,CHDM,Chordoma
808,PT,Breast Cystosarcoma Phyllodes
809,PT,Breast Phyllodes Neoplasm
810,PT,Breast Phyllodes Tumor
811,PT,Cystosarcoma Phyllodes of Breast
812,PT,Cystosarcoma Phyllodes of the Breast
813,PT,Phyllodes Breast Neoplasm
814,PT,Phyllodes Breast Tumor
815,PT,Phyllodes Neoplasm of Breast
816,PT,Phyllodes Neoplasm of the Breast
817,PT,Phyllodes Tumor of Breast
818,PT,Phyllodes Tumor of the Breast
819,USCC,Epidermoid Carcinoma of the Urethra
820,USCC,Epidermoid Carcinoma of Urethra
821,USCC,Squamous Cell Carcinoma of the Urethra
822,USCC,Squamous Cell Carcinoma of Urethra
823,USCC,Urethra Epidermoid Carcinoma
824,USCC,Urethra Squamous Cell Carcinoma
825,USCC,Urethral Epidermoid Carcinoma
826,USCC,Urethral Squamous Cell Carcinoma
827,SCRMS,Spindle Cell Rhabdomyosarcoma
828,CPT,Choroid Plexus Neoplasm
829,CPT,Choroid Plexus Tumor
830,CPT,Neoplasm of Choroid Plexus
831,CPT,Neoplasm of the Choroid Plexus
832,CPT,Tumor of Choroid Plexus
833,CPT,Tumor of the Choroid Plexus
834,MZL,Marginal Zone B-Cell Lymphoma
835,MZL,Marginal Zone Lymphoma
836,MZL,MZBCL
837,MNET,Central Nervous System Neuroepithelial Neoplasm of Uncertain Origin
838,URCC,Unclassified Renal Cell Carcinoma
839,ACCC,Acinar Adenocarcinoma
840,ACCC,Acinar Carcinoma
841,ACCC,Acinar Cell Adenocarcinoma
842,ACCC,Acinar Cell Carcinoma
843,ACCC,Acinic Cell Adenocarcinoma
844,ACCC,Acinic Cell Carcinoma
845,OYST,Endodermal Sinus Neoplasm of Ovary
846,OYST,Endodermal Sinus Neoplasm of the Ovary
847,OYST,Endodermal Sinus Tumor of Ovary
848,OYST,Endodermal Sinus Tumor of the Ovary
849,OYST,Germ Cell Endodermal Sinus Neoplasm of Ovary
850,OYST,Germ Cell Endodermal Sinus Neoplasm of the Ovary
851,OYST,Germ Cell Endodermal Sinus Tumor of Ovary
852,OYST,Germ Cell Endodermal Sinus Tumor of the Ovary
853,OYST,Ovarian Endodermal Sinus Neoplasm
854,OYST,Ovarian Endodermal Sinus Tumor
855,OYST,Ovarian Germ Cell Endodermal Sinus Neoplasm
856,OYST,Ovarian Germ Cell Endodermal Sinus Tumor
857,OYST,Ovarian Yolk Sac Neoplasm
858,OYST,Ovarian Yolk Sac Tumor
859,OYST,Yolk Sac Neoplasm of Ovary
860,OYST,Yolk Sac Neoplasm of the Ovary
861,OYST,Yolk Sac Tumor of Ovary
862,OYST,Yolk Sac Tumor of the Ovary
863,PXA,Pleomorphic Xantho-Astrocytoma
864,PXA,Pleomorphic Xanthoastrocytoma
865,ESCA,Adenocarcinoma of Esophagus
866,ESCA,Adenocarcinoma of the Esophagus
867,ESCA,Esophageal Adenocarcinoma
868,ESCA,Esophagus Adenocarcinoma
869,ESCA,Oesophageal Adenocarcinoma NOS
870,BONE,Bones
871,BONE,Bone
872,BONE,Osseous
873,OAST,Mixed Astrocytic-Oligodendroglial Neoplasm
874,OAST,Mixed Astrocytic-Oligodendroglial Tumor
875,OAST,Mixed Astrocytoma-Oligodendroglioma
876,OAST,Mixed Oligo-Astrocytoma
877,OAST,Oligoastrocytoma
878,OAST,WHO Grade II Mixed Glioma
880,SFT,Localized Fibrous Mesothelioma
881,SFT,Localized Fibrous Tumor
882,SFT,Solitary Fibrous Tumor
883,SFT,Submesothelial Fibroma
884,SCLC,Lung Oat Cell Carcinoma
885,SCLC,Lung Small Cell Carcinoma
886,SCLC,Lung Small Cell Neuroendocrine Carcinoma
887,SCLC,Oat Cell Carcinoma of Lung
888,SCLC,Oat Cell Carcinoma of the Lung
889,SCLC,Oat Cell Lung Carcinoma
890,SCLC,Small Cell Carcinoma of Lung
891,SCLC,Small Cell Carcinoma of the Lung
892,SCLC,Small Cell Lung Cancer
893,SCLC,Small Cell Lung Carcinoma
894,SCLC,Small Cell Neuroendocrine Carcinoma of Lung
895,SCLC,Small Cell Neuroendocrine Carcinoma of the Lung
896,DDLS,Dedifferentiated Liposarcoma
897,UTUC,Renal Pelvis and Ureter TCC
898,UTUC,Renal Pelvis and Ureter Transitional Cell Cancer
899,UTUC,Renal Pelvis and Ureter Transitional Cell Carcinoma
900,UTUC,Renal Pelvis and Ureter Urothelial Carcinoma
901,UTUC,TCC of Renal Pelvis and Ureter
902,UTUC,TCC of the Renal Pelvis and Ureter
903,UTUC,Transitional Cell Cancer of Renal Pelvis and Ureter
904,UTUC,Transitional Cell Cancer of the Renal Pelvis and Ureter
905,UTUC,Transitional Cell Carcinoma of Renal Pelvis and Ureter
906,UTUC,Urothelial Carcinoma of the Renal Pelvis and Ureter
907,BCC,Basal Cell Cancer
908,BCC,Basal Cell Carcinoma of Skin
909,BCC,Basal Cell Carcinoma of the Skin
910,BCC,Basal Cell Carcinoma
911,BCC,Basal Cell Epithelioma
912,BCC,Basal Cell Skin Carcinoma
913,BCC,Skin Basal Cell Carcinoma
914,MSCHW,Melanocytic Neurilemmoma
915,MSCHW,Melanocytic Schwannoma
916,MSCHW,Melanotic Neurilemmoma
917,MSCHW,Melanotic Neurinoma
918,MSCHW,Melanotic Schwannoma
919,MSCHW,Pigmented Neurilemmoma
920,MSCHW,Pigmented Schwannoma
921,OMGCT,Mixed Germ Cell Neoplasm of Ovary
922,OMGCT,Mixed Germ Cell Neoplasm of the Ovary
923,OMGCT,Mixed Germ Cell Tumor of Ovary
924,OMGCT,Mixed Germ Cell Tumor of the Ovary
925,OMGCT,Ovarian Mixed Germ Cell Neoplasm
926,OMGCT,Ovarian Mixed Germ Cell Tumor
927,VSC,Epidermoid Carcinoma of the Vagina
928,VSC,Epidermoid Carcinoma of Vagina
929,VSC,Epidermoid Cell Carcinoma of the Vagina
930,VSC,Epidermoid Cell Carcinoma of Vagina
931,VSC,Squamous Cell Carcinoma of the Vagina
932,VSC,Squamous Cell Carcinoma of Vagina
933,VSC,Vagina Epidermoid Carcinoma
934,VSC,Vagina Epidermoid Cell Carcinoma
935,VSC,Vagina Squamous Cell Carcinoma
936,VSC,Vaginal Epidermoid Carcinoma
937,VSC,Vaginal Epidermoid Cell Carcinoma
938,VSC,"Vaginal Squamous Cell Carcinoma, NOS"
939,VSC,"Vaginal Squamous Cell Carcinoma, Not Otherwise Specified"
940,VSC,Vaginal Squamous Cell Carcinoma
941,PLRMS,Pleomorphic Rhabdomyosarcoma
942,FIOS,Fibroblastic Osteogenic Sarcoma
943,FIOS,Fibroblastic Osteosarcoma
944,FIOS,Fibrosarcomatous Osteogenic Sarcoma
945,FIOS,Fibrosarcomatous Osteosarcoma
946,MBT,Neoplasm of Uncertain Histogenesis
947,MBT,Neoplasm of Uncertain Origin
948,MBT,Tumor of Uncertain Histogenesis
949,MBT,Tumor of Uncertain Origin
950,CMML,Chronic Myelomonocytic Leukemia
951,MBN,B-Cell Non Hodgkin's Lymphoma
952,MBN,B-Cell Non-Hodgkin Lymphoma
953,MBN,B-Cell Non-Hodgkin's Lymphoma
954,MBN,Lymphomas Non-Hodgkin's B-Cell
955,MBN,Non-Hodgkin's B-Cell Lymphoma
956,MBN,Non-Hodgkin's Lymphoma B-Cell
957,MBC,Metaplastic Breast Carcinoma
958,MBC,Metaplastic Carcinoma of Breast
959,MBC,Metaplastic Carcinoma of the Breast
960,IAMPCA,Ampulla of Vater Intestinal-Type Adenocarcinoma
961,IAMPCA,Ampulla of Vater Invasive Intestinal Type Adenocarcinoma
962,PTCY,Pituicytoma (WHO Grade I)
963,PTCY,Pituicytoma
964,PTCY,Posterior Pituitary Astrocytoma
965,ES,Ewing Sarcoma
966,ES,Ewing's Sarcoma
967,ES,Ewing's Tumor
968,ARMS,Alveolar Rhabdomyosarcoma
969,ARMS,Monomorphous Round Cell Rhabdomyosarcoma
970,HEAD_NECK,H and N
971,HEAD_NECK,Head and Neck
972,GB,GBM (Glioblastoma)
973,GB,GBM
975,GB,Glioblastoma
976,GB,Grade IV Astrocytic Neoplasm
977,GB,Grade IV Astrocytic Tumor
978,GB,Spongioblastoma Multiforme
979,GB,WHO Grade IV Glioma
980,ODG,Oligodendroglioma
981,ODG,Well Differentiated Oligodendroglial Tumor
982,ODG,Well Differentiated Oligodendroglioma
983,ODG,WHO Grade II Oligodendroglial Neoplasm
984,ODG,WHO Grade II Oligodendroglial Tumor
985,EMCHS,EMC
986,EMCHS,Extraosseous Chondrosarcoma
987,EMCHS,Extraskeletal Chondrosarcoma
988,EMCHS,Extraskeletal Myxoid Chondrosarcoma
989,EMCHS,Myxoid Extraosseous Chondrosarcoma
990,EMCHS,Myxoid Extraskeletal Chondrosarcoma
991,LCH,Histiocytosis X
992,LCH,Langerhans Cell Granulomatosis
993,LCH,"Langerhans Cell Histiocytosis, NOS"
994,LCH,"Langerhans Cell Histiocytosis, Not Otherwise Specified"
995,LCH,Langerhans Cell Histiocytosis
996,NSCLC,Lung Non-Small Cell Carcinoma
997,NSCLC,Non Small Cell Lung Cancer NOS
998,NSCLC,Non-Small Cell Cancer of Lung
999,NSCLC,Non-Small Cell Cancer of the Lung
1000,NSCLC,Non-Small Cell Carcinoma of Lung
1001,NSCLC,Non-Small Cell Carcinoma of the Lung
1002,NSCLC,Non-Small Cell Lung Cancer
1003,NSCLC,Non-Small Cell Lung Carcinoma
1004,NSCLC,NSCLC - Non-Small Cell Lung Cancer
1005,PGNT,Papillary Glioneuronal Tumor (WHO Grade I)
1006,PGNT,Papillary Glioneuronal Tumor
1007,SOC,Ovarian Serous Adenocarcinoma
1008,SOC,Ovarian Serous Carcinoma
1009,SOC,Serous Adenocarcinoma of Ovary
1010,SOC,Serous Adenocarcinoma of the Ovary
1011,SOC,Serous Carcinoma of Ovary
1012,SOC,Serous Carcinoma of the Ovary
1013,SM,Systemic Mastocytosis
1014,SM,Systemic Tissue Mast Cell Disease
1015,CLNC,Cerebellar Liponeurocytoma (WHO Grade II)
1016,CLNC,Cerebellar Liponeurocytoma
1017,CLNC,Lipomatous Medulloblastoma
1018,UCS,Carcinosarcoma of the Uterus
1019,UCS,Malignant Mixed Mesodermal (Mullerian) Tumor of the Uterus
1020,UCS,Malignant Mixed Mesodermal (Müllerian) Tumor of the Uterus
1021,UCS,Uterine Carcinosarcoma
1022,UCS,Uterine Malignant Mixed Mesodermal (Mullerian) Tumor
1023,UCS,Uterine Malignant Mixed Mesodermal (Müllerian) Tumor
1024,MBEN,Cerebellar Neuroblastoma
1025,MBEN,Medulloblastoma with Extensive Nodularity and Advanced Neuronal Differentiation
1026,MBEN,Medulloblastoma with Extensive Nodularity
1027,MBEN,Nodular Medulloblastoma
1028,PAAC,Acinar Cell Adenocarcinoma of Pancreas
1029,PAAC,Acinar Cell Adenocarcinoma of the Pancreas
1030,PAAC,Acinar Cell Carcinoma of Pancreas
1031,PAAC,Acinar Cell Carcinoma of the Pancreas
1032,PAAC,Pancreas Acinar Cell Adenocarcinoma
1033,PAAC,Pancreatic Acinar Cell Adenocarcinoma
1034,PAAC,Pancreatic Acinar Cell Carcinoma
1035,MYELOID,Blood
1036,MYELOID,Peripheral Blood
1037,MYELOID,"Reticuloendothelial System, Blood"
1038,PHM,Incomplete Hydatid Mole
1039,PHM,Incomplete Hydatidiform Mole
1040,PHM,Incomplete Molar Pregnancy
1041,PHM,Partial Hydatid Mole
1042,PHM,Partial Hydatidiform Mole
1043,PHM,Partial Molar Pregnancy
1044,PHM,Partial Mole
1045,SSRCC,Gastric Signet Ring Cell Adenocarcinoma
1046,SSRCC,Signet Ring Cell Adenocarcinoma of Stomach
1047,SSRCC,Signet Ring Cell Adenocarcinoma of the Stomach
1048,SSRCC,Signet Ring Cell Gastric Adenocarcinoma
1049,SSRCC,Signet Ring Cell Stomach Adenocarcinoma
1050,ETANTR,Embryonal Tumor with Abundant Neuropil and True Rosettes
1051,ETANTR,Embryonal Tumor with Multilayered Rosettes with C19MC Amplification
1052,ETANTR,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered"
1053,ETANTR,Embryonal Tumor with Multilayered Rosettes
1054,ETANTR,Ependymoblastoma
1055,ETANTR,"ETMR, C19MC-Altered"
1056,SCST,Ovarian Sex Cord-Stromal Neoplasm
1057,SCST,Ovarian Sex Cord-Stromal Tumor
1058,SCST,Sex Cord-Stromal Neoplasm of Ovary
1059,SCST,Sex Cord-Stromal Neoplasm of the Ovary
1060,SCST,Sex Cord-Stromal Tumor of Ovary
1061,SCST,Sex Cord-Stromal Tumor of the Ovary
1062,SKAC,Adnexal Carcinoma
1063,SKAC,Carcinoma of Adnexa
1064,SKAC,Carcinoma of Skin Appendage
1065,SKAC,Skin Appendage Carcinoma
1066,NMCHN,Carcinoma with t(15;19)(q13;p13.1) Translocation
1067,NMCHN,Midline Carcinoma of Children and Young Adults with NUT Rearrangement
1068,NMCHN,NUT Carcinoma
1069,NMCHN,NUT Midline Carcinoma
1070,ALCL,Anaplastic Large Cell Lymphoma
1071,ALCL,CD30 Positive Anaplastic Large Cell Lymphoma
1072,ALCL,Ki-1 Lymphoma
1073,ALCL,Ki-1+ ALCL
1074,ALCL,Ki-1+ Anaplastic Large Cell Lymphoma
1075,WDLS,Well Differentiated Liposarcoma of Deep Soft Tissue
1076,WDLS,Well Differentiated Liposarcoma
1077,WDLS,Well-Differentiated Liposarcoma
1078,USTUMP,Borderline Uterine Corpus Smooth Muscle Neoplasm
1079,USTUMP,Uterine Corpus Smooth Muscle Neoplasm of Uncertain Malignant Potential
1080,USTUMP,Uterine Corpus Smooth Muscle Tumor of Uncertain Malignant Potential
1081,USTUMP,Uterine Corpus STUMP
1082,OVARY,"Genital System, Female, Ovary"
1083,OVARY,Ovaries
1084,OVARY,Ovary
1085,PTAD,Adenoma of Pituitary Gland
1086,PTAD,Adenoma of Pituitary
1087,PTAD,Adenoma of the Pituitary Gland
1088,PTAD,Adenoma of the Pituitary
1089,PTAD,Pituitary Adenoma
1090,PTAD,Pituitary Gland Adenoma
1091,MGCT,Mixed Germ Cell Neoplasm of Testis
1092,MGCT,Mixed Germ Cell Neoplasm of the Testis
1093,MGCT,Mixed Germ Cell Tumor of Testis
1094,MGCT,Mixed Germ Cell Tumor of the Testis
1095,MGCT,Testicular Germ Cell Tumor (Mixed)
1096,MGCT,Testicular Mixed Germ Cell Neoplasm
1097,MGCT,Testicular Mixed Germ Cell Tumor
1098,CSCLC,Combined Lung Small Cell Carcinoma
1099,CSCLC,Combined Small and Large Cell Lung Cancer
1100,CSCLC,Combined Small and Large Cell Lung Carcinoma
1101,CSCLC,Combined Small Cell and Large Cell Lung Carcinoma
1102,CSCLC,Combined Small Cell Carcinoma of Lung
1103,CSCLC,Combined Small Cell Carcinoma of the Lung
1104,CSCLC,Combined Small Cell Lung Carcinoma
1105,CSCLC,Combined Type Small Cell Carcinoma of Lung
1106,CSCLC,Combined Type Small Cell Carcinoma of the Lung
1107,CSCLC,Combined Type Small Cell Lung Carcinoma
1108,CSCLC,Mixed Small Cell and Large Cell Carcinoma of Lung
1109,CSCLC,Mixed Small Cell and Large Cell Carcinoma of the Lung
1110,CSCLC,Mixed Small Cell and Large Cell Lung Carcinoma
1111,CSCLC,Small Cell and Large Cell Carcinoma of Lung
1112,CSCLC,Small Cell and Large Cell Carcinoma of the Lung
1113,CSCLC,Small Cell and Large Cell Lung Carcinoma
1114,SRCBC,"Infiltrating Bladder Urothelial Carcinoma, Plasmacytoid Variant"
1115,OS,Osteogenic Sarcoma
1116,OS,Osteosarcoma
1117,PENIS,"Genital System, Male, Penis"
1118,PENIS,Penis
1119,CCM,Clear Cell Meningioma
1120,UCCA,Gestational Uterine Corpus Choriocarcinoma
1121,UCCA,Uterine Corpus Choriocarcinoma
1122,UCCA,Uterine Corpus Gestational Choriocarcinoma
1123,LXSC,Epidermoid Carcinoma of Larynx
1124,LXSC,Epidermoid Carcinoma of the Larynx
1125,LXSC,Laryngeal Epidermoid Carcinoma
1126,LXSC,Laryngeal Squamous Cell Carcinoma
1127,LXSC,Larynx Epidermoid Carcinoma
1128,LXSC,Larynx Squamous Cell Carcinoma
1129,LXSC,Squamous Cell Carcinoma of Larynx
1130,LXSC,Squamous Cell Carcinoma of the Larynx
1131,GRCT,Granulosa Cell Neoplasm
1132,GRCT,Granulosa Cell Tumor
1133,ACC,Adrenal Cortex Adenocarcinoma
